x,y,amplitude,angle,rob,action 0,action 1,action 2,action 3,action 4,action 5
4,8,1,4,1,1.0597407330456499,-0.11363160687537804,-0.13964423708542928,-0.3003985349149141,-0.05951032481133528,-0.08796580590054037
2,8,1,3,1,-8.84834987185675,-4.7765963325000005,-4.602680702543325,-4.886487362319704,-4.636582343083081,-4.692916212013955
1,8,1,3,1,-10.0,-9.951125727546316,-10.0,-10.0,-10.0,-10.0
3,8,3,3,1,-9.841168228115839,-10.0,-10.0,-10.0,-9.647564717136227,-10.0
3,5,3,3,0,-10.0,,-9.883699412183407,-9.892314630230128,-10.0,-10.0
1,4,3,3,0,-10.0,,-10.0,-10.0,-10.0,-10.0
5,2,2,3,1,0.0,1.8662332268494388,0.5081277468690151,0.024224846175192882,0.571514219169726,0.27631787217965714
3,1,2,3,1,-3.071325,3.491655999598693,-2.57925,-1.425,-2.57925,-1.3575000000000002
1,0,2,3,2,,-10.0,-10.0,-10.0,-10.0,-10.0
4,4,2,3,0,-3.72984679218695,,-3.8873980377631407,-4.043523439708908,-0.5593506705089143,-3.884823912130468
1,0,2,3,0,-10.0,,-10.0,-10.0,-10.0,9.999993396008417
3,0,3,3,1,-10.0,-10.0,-9.1711493692672,-10.0,-10.0,-9.75
5,7,2,4,1,-0.6287270169750694,-0.48763529281668966,-0.2960253841152464,-0.20337028873235152,0.9729909359545784,-0.15892616756729347
4,7,1,4,2,,0.1092140380441292,0.0,1.3907775291957103,0.20528410436365352,0.012300834956742265
2,7,1,4,2,,-2.7957346697985983,1.0737726572046984,4.8983810669770875,1.0650765035143324,1.1056701637374216
1,8,1,4,2,,-10.0,-2.71,9.82548775620497,-10.0,-10.0
5,6,1,4,1,0.4213548677624605,0.08521152286765414,1.2892930744369926,0.6863419479122013,0.36375600881440395,0.3908877190034389
4,8,1,4,2,,0.11600835296171991,0.9925683048547955,0.023799876800486796,0.06726962582403563,-0.018756380421657975
3,8,1,3,2,,-1.30708673799676,-0.46872072210995624,1.107454217528708,0.09718923929113527,-0.9108574672684203
2,7,1,3,1,-0.5961171044056314,-2.738863183125,-9.75,-3.935373892671221,-2.668988499697698,-2.7615
2,6,1,3,1,-3.6573461348438645,-2.809697301323313,-2.6525906589491854,-2.915685772154524,-6.560299708727925,-2.1038921344002635
1,5,1,3,1,-10.0,-10.0,-4.5049272940600185,-0.7830290635592168,-8.2,-10.0
4,0,2,4,1,-4.712601750939841,-4.734738604906796,-4.8413687994285155,-4.791861341691713,-4.745721058404342,-1.797596349356057
3,5,2,4,2,,-0.75,1.0185080079947815,-0.3671581535290428,-0.491061175768402,-0.23037474768589727
1,7,2,4,2,,-10.0,4.231764616756934,-8.0,-4.429280077541344,-10.0
1,4,3,4,1,-10.0,-10.0,-1.4927040035505312,-10.0,3.919584313192779,-10.0
5,4,3,4,1,-0.6927208926065497,-3.6446710063937333,-3.136172095418038,-3.6846371666175335,-3.1944304714128724,-3.5139752320697757
3,7,3,4,2,,-9.046,-3.5635301121551333,5.414944484558505,-4.400250194066013,-2.3295190962430476
1,6,3,3,2,,-10.0,-10.0,-10.0,-10.0,5.509135885249114
4,1,1,4,0,-0.42006076916129254,,-0.5867245634770369,-1.3881388563639816,-0.49477800239803316,1.7095128930015762
2,1,1,4,0,-7.106632899047069,,-0.997435570187378,-1.84448514272136,-3.5757820381538368,-2.803977458105189
1,1,1,4,0,-10.0,,-3.5733359646783884,-4.941453683930947,4.491684121593295,-10.0
1,0,3,4,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
5,7,2,3,1,-1.280322615593367,-0.8276224289066975,-1.2394304954767867,-1.3958166089766821,-1.1962392275828921,-1.1684959496459093
3,7,2,3,1,-3.7205243901561835,-3.91277325,-3.9603713768095856,-3.6943477881352917,-3.7099818073136914,-1.6079227712726216
1,7,2,3,0,-10.0,,-10.0,-10.0,-10.0,-10.0
1,6,2,3,2,,-10.0,-10.0,-10.0,-10.0,2.273996135186491
1,2,2,3,0,-10.0,,-10.0,4.676595685007922,-8.379999999999999,-10.0
3,5,3,4,1,-2.6645806864928234,-10.0,-10.0,-8.518359501951554,-9.525,-8.338166222350576
5,3,2,3,1,0.0,1.1173651281206574,1.0881605443311135,0.8896772423139319,1.062582799472258,1.7999503110841495
3,2,2,3,1,-1.425,3.894121657964585,-1.425,-1.425,-0.75,-2.0325
1,2,2,3,2,,-10.0,-10.0,-10.0,-10.0,-10.0
3,8,1,3,1,0.40279354173252546,-1.649411754731597,-1.1807727920201363,-1.3790462092499998,-1.334324163770108,-0.9051949247604112
5,5,1,3,1,0.007477965398551918,0.15098863329040282,0.6383195947453799,0.12350473794793024,0.20347412217313596,0.23485064988695625
4,4,1,3,1,-0.07760905335597708,0.2115477665180307,0.15521076596416092,0.7894220190134865,0.4971873104401501,0.26145400469157937
3,3,1,3,1,-1.5450928464234377,0.5801360065844671,-1.625850147949872,-0.21429046448978667,-0.31647913224385316,-0.10021125576581336
2,2,1,3,1,-3.6871619720812503,0.1665657024962015,-2.818902802505441,-2.913256576595812,-3.3710049126702915,-9.704324987765787
1,2,1,3,1,-10.0,-10.0,-10.0,-9.999893278451792,-10.0,-10.0
3,3,2,4,1,-1.3191228958653771,-1.77906241013925,-0.05154360858587051,-0.9229185534108991,-1.075373466658656,-1.1624133436674118
4,6,1,4,2,,0.22921598145283972,0.4481547122721714,2.2556520314764428,0.0,0.5470462353811519
3,8,1,4,2,,-0.9954182430583678,0.3344972987526329,0.32910032881821233,2.309988918256591,0.6979744152795838
2,8,1,3,2,,-3.3916915949311575,2.5655175263952366,-0.999393278069005,-1.2883576191146378,-1.1798016555686353
1,7,1,3,2,,-10.0,-0.18934681137937415,-10.0,-4.741999999999999,-3.836313978827155
5,3,1,4,1,0.1895254973259925,0.005100797504646968,0.21027527230679952,0.01880447981378252,0.9257823530231362,0.17377770919078075
4,3,1,4,2,,-0.13203605092621767,0.9451632559549694,-0.1164283951788017,-0.10212698672753934,-0.07363795058056496
3,0,2,3,1,-1.3575000000000002,2.99109783443528,-3.116708438603093,-0.75,-0.75,-1.425
1,1,2,4,0,-10.0,,2.7964230827842838,-8.0,-3.7740452691509354,-10.0
5,2,3,4,1,-3.872839674617378,-4.309900280418638,-3.4985981951885563,-4.036769468987493,-3.0666089556056786,-3.8178131817943597
5,7,1,3,1,0.0012600526868300184,0.22738164158879054,0.06587634694947325,0.13332711634109745,0.08180708869166804,0.08680255226755189
4,6,1,3,2,,0.0,0.0,0.561892121922735,-0.09074444610586141,-0.03221589418736242
3,5,1,3,2,,1.168775293457523,-1.4098125000000001,0.0,-0.75,0.0
2,5,1,3,2,,0.30844681699186405,-2.7648750000000004,-9.73633125,-2.8042499999999997,-2.9713125
1,4,1,3,2,,-10.0,-10.0,-9.8523775,-10.0,-10.0
4,2,2,4,2,,-2.2195033170930385,-2.9467925132720887,-2.9552573685037933,-3.0803538623494777,-3.038686956190828
5,1,1,3,1,0.18140851965907417,0.16872230617547582,0.3408561281686833,0.7431701914711802,0.203823081540353,0.3675884014248118
4,0,1,3,1,-0.034512559237075295,0.15267661925704618,0.2912086378263942,0.2954469353645227,0.25065217426895386,0.25890753396773625
3,0,1,4,1,-1.8129013716025588,-1.419558712437594,-1.712774852726856,-1.7871527753737104,-1.3377690480861597,-1.2498262342605473
2,1,1,4,1,-3.05765625,-1.2356360144508591,-2.4852716065708886,-9.087106871666212,-3.00860499748125,-10.0
4,7,2,4,1,1.4724406718413916,-0.264,-2.710463103515228,-1.546447594577971,-1.2672260832548266,-1.3895506714282835
1,2,3,4,2,,-10.0,-10.0,-10.0,-10.0,-10.0
4,3,2,4,1,-5.442970766362549,-5.559332711949084,-5.527112028328526,-5.484610728177971,-2.6058439740611985,-5.6888888212828395
5,0,1,3,1,-0.025443171015236042,0.7272095972529126,0.0013009533382416227,-0.06011330837844773,0.0663140341441558,0.03146530820437718
4,0,1,4,1,-0.8152763760598255,-0.6858360516643641,0.31396695365872984,-0.6651610039178482,-0.6225095878636782,-0.619033213089148
4,6,2,3,1,-2.438028276642431,-1.9868213372532206,-1.7916040649941465,-1.5153358647018793,-1.9656549539034553,-1.7434231737592982
2,5,2,3,1,-9.775,-8.945736563207698,-8.2,-8.032584148086492,-4.987155149431674,-4.955722631816819
3,1,3,3,0,-3.3519900000000002,,-8.181254054885649,-8.844049879812456,-4.088642500000001,10.23313511622907
4,0,1,4,0,-0.3787374007453591,,-0.4520875164849673,-0.6601713316071631,0.9756856968201142,-0.4523866415319068
2,2,1,4,0,-7.512025105141204,,-5.716203235610421,-7.2353652729972735,-7.128856605678608,-7.082239298704436
5,1,1,4,1,0.815878448905962,-0.0804995934330275,0.1407278891547239,-0.15895972686099552,-0.06394375337079426,0.07307903858171404
3,4,1,4,2,,1.6545122123080265,-1.5958618793809838,-1.5789935567892517,-1.5852348666403555,-1.8139514187387584
2,5,1,4,1,-3.052281021756215,-5.518395244725681,-9.3225,-5.3490099147224255,-5.313581981434026,-5.456088770894694
1,8,2,4,0,-10.0,,-10.0,-10.0,-10.0,-10.0
1,4,3,4,2,,-10.0,-10.0,-10.0,-10.0,-10.0
1,2,2,3,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
2,5,2,3,2,,-7.1760266862341116,-10.0,-9.75,-10.0,-7.18371617905351
4,7,2,3,2,,-0.9676977858876659,-2.9091298924428513,-2.5437960414654777,-2.7225303772341873,-2.897099233060036
2,6,2,3,1,-5.92329511,-5.75927011,-4.872496268001727,0.3574818648137754,-7.151524316203991,-10.0
1,5,2,3,1,-10.0,-10.0,-10.0,2.3668576837502364,-10.0,-10.0
4,1,1,3,1,-0.05810726656126415,1.9343509574109226,0.6184665240694984,0.43190220137572843,0.0,1.1435057071755546
3,1,1,3,2,,-0.5997735539417646,-0.10687500000000001,-0.05625,-0.75,-0.05625
2,0,1,3,2,,-1.425,-2.0325,-1.9,-10.0,-2.0325
1,0,1,3,2,,-10.0,-10.0,-10.0,-10.0,-10.0
5,0,2,3,1,-1.6342419321656165,-1.587112448907287,-1.6306991334856615,-1.6009448719464512,-1.606075994003953,-0.8311176130844067
4,0,2,3,1,-4.029905415652327,-3.9021018566826786,-3.9029515307100238,-3.922782050360079,-4.088479552665234,-4.029890636431562
2,0,2,3,1,-7.616434892685359,-10.0,-10.0,-10.0,-10.0,-7.764557692240458
1,0,2,3,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
3,2,2,4,1,-1.425,-1.5896325,-1.2078083260388617,-0.8879938564274081,-1.0498055524963894,0.07181381273355164
4,2,1,4,1,-0.2874868107780438,-0.03725148029379871,-0.1757944503925882,-0.23933999989691981,2.1058620917378628,-0.19024592546599192
3,2,1,4,1,-2.6192106726072524,-1.8389486198799867,-1.1804178519592843,-1.735956411556216,1.588789677028166,-0.9384725299668573
2,3,1,4,1,-2.430343372093948,-3.825289222977955,-1.4343312844068825,-2.28689785378447,-0.23439511918570077,4.762143689037271
1,4,1,4,1,-10.0,-10.0,-4.479799999999999,-3.3991752395784225,12.7686114965865,-9.25
1,5,1,4,1,-10.0,-10.0,-9.775,1.7517089499954204,-10.0,-10.0
1,3,2,4,1,-10.0,-10.0,-2.6080504435492706,-10.0,-4.885860763385141,3.298709089808745
1,1,3,4,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
3,1,2,3,2,,-0.75,0.0,-0.75,-0.75,0.0
4,3,2,4,2,,-4.745489723898428,-4.737192545114294,-4.841657347074918,-4.946814830067313,-4.922261378419167
2,4,2,4,2,,-10.0,-9.749731944335378,-9.647845450644848,-9.762538607570075,-10.0
5,7,3,4,1,0.13101024985750698,-4.1712348989145855,-3.8056670494601983,-4.3466744836617055,-4.408221911004163,-4.847424951529375
1,8,3,3,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
1,6,2,4,2,,-10.0,-1.2609037142740158,-10.0,-10.0,1.6009609106544502
3,7,3,4,1,-7.432059495036811,-9.75,-10.0,-10.0,-7.283274432436233,-10.0
5,1,3,3,1,-4.4196504709227336,-0.2868428338200785,-4.220318010752954,-4.167803969620031,-3.4319368311508014,-4.006332260869979
4,4,1,4,1,1.282028138274577,-0.302164676511928,-0.3617241012704552,-0.009326190774205767,0.047031502563036676,-0.2075985121293134
3,5,1,4,1,0.22785715753345231,-1.9201619365359155,-1.8271313128725077,-1.7712231919686445,-1.6251366719499374,-1.2337205497803085
1,6,1,4,2,,-10.0,-8.379999999999999,-9.280759445470972,-6.819019999999999,4.6246156331417
5,2,1,4,1,0.006371549393552845,-0.0020959001408496097,0.28553095465583833,0.9464741559839662,0.10545550166410574,0.17262723359405513
4,3,1,4,1,-0.23022065282957477,-0.13595819100568424,-0.13745685908390667,-0.1923380914617276,-0.2685666373655178,1.2806871323547668
3,5,1,4,2,,-0.9017176091424981,-0.5136637311177099,-0.7153612748410951,1.2219660529426932,-0.3520382653471398
2,6,1,4,1,2.695513485392796,-9.0,-3.5141925,-2.2824999999999998,-3.48535,-2.2824999999999998
3,5,3,3,2,,-7.875107347080009,-7.8060024343251175,-10.0,-10.0,-10.0
3,7,3,3,1,-9.75,-9.7975,-8.578233782682029,-4.503248749244917,-10.0,-10.0
3,6,3,4,1,-9.105688460174415,-9.030709178009598,-10.0,-10.0,-10.0,-9.089782974187969
3,4,1,3,2,,-0.5075865460528471,-0.903754129359375,-0.8385623975390625,-1.00899814546875,-0.9429808585421201
1,3,1,3,1,-10.0,-10.0,-10.0,-10.0,-10.0,4.283563482759669
3,0,3,4,1,-9.553606056636314,-7.913166839518612,-10.0,-9.75,-10.0,-10.0
3,7,1,4,1,2.746195812301932,-0.73125,-0.75,-0.75,-0.75,0.0
2,8,1,4,2,,-3.874697821513242,-0.20198782584794397,4.91921196861563,0.017769574925372345,0.028643143580904223
1,8,1,4,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
5,4,1,3,1,0.0,0.37448185705777876,0.42588892415780605,1.1388286309084796,0.4553939861822208,0.6788661573746487
4,4,1,3,0,,,0.0,0.0,0.31898607482340857,-0.004681436959198398
3,4,1,3,0,-0.01772105486638023,,-0.02240433556469207,0.5131321502427307,-0.21342854712277093,-0.3389457070282567
2,3,1,3,2,,-2.5591955580423105,-2.5075000000000003,-2.71274877046875,-2.55698360625,-2.2824999999999998
1,0,1,4,1,-10.0,-9.954560198278797,-10.0,-10.0,-10.0,-10.0
1,7,1,4,2,,-9.81775,-3.7281278160544415,-2.8781603705614245,2.292581672646467,-10.0
3,3,3,4,1,-10.0,-8.303984776459213,-6.052554394505321,-4.52040486309679,-8.0,-6.826170607228532
4,5,2,4,1,1.2696633052902015,-1.9837558640937534,-2.892146982991814,-1.480351478937389,-1.4621101273982158,-2.101744480735935
2,7,2,4,1,-5.845428421319883,-10.0,-10.0,-10.0,-10.0,-6.163093099
3,1,1,3,1,-0.675,3.7866320206337427,-0.7064351785875749,-0.088719375,0.26559937946675766,-0.800625
2,1,1,3,1,-9.75,1.641113272545414,,-1.425,0.0,-0.75
1,0,1,3,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
4,1,2,4,1,-2.904156273906511,-3.28427849648562,-2.439958243420661,-2.845080760099206,-0.9719916451280093,-2.453849199276484
2,1,2,4,0,-8.847354610270932,,-9.775,-10.0,-6.799369241927716,-8.665200829132827
3,2,1,4,0,2.728790039747505,,-1.084301756095834,-1.8227517809522287,-1.21620898813643,-1.8062602151955454
3,5,2,3,1,-2.57925,-2.0588691814245657,-0.740832377375514,-0.31944145895668286,1.06164971042471,-0.6824406957712807
2,4,2,3,1,-9.7975,-10.0,-5.463019404015134,-10.0,-10.0,-2.259352912953047
3,4,1,3,1,-1.0907144024302273,-0.953684082834105,0.7875482041334092,-0.896482545588891,-0.97636921774089,-1.7707408314588768
2,3,1,3,0,-1.9522055954116415,,-2.279687882169987,-2.3939741065679447,-2.252236123387072,-1.677738347251789
1,2,1,3,0,-10.0,,-8.2,-0.9803680813594089,-4.716064903575454,-10.0
1,4,2,3,0,-10.0,,-10.0,-10.0,-10.0,-10.0
1,7,2,4,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
